Attribute,Category,Type,Value,Year
DIBBLE,4412 · Labor Income - Other,Income,0,2024
DIBBLE,4412-01 · Custom Farming Labor,Income,0,2021
DIBBLE,4412-01 · Custom Farming Labor,Income,0,2023
DIBBLE,4412-01 · Custom Farming Labor,Income,0,2024
DIBBLE,4412-01 · Custom Farming Labor,Income,150,2022
DIBBLE,4500-01 · Management Fees Income,Income,0,2021
DIBBLE,4500-01 · Management Fees Income,Income,0,2022
DIBBLE,4500-01 · Management Fees Income,Income,0,2023
DIBBLE,4500-01 · Management Fees Income,Income,0,2024
DIBBLE,4500-02 · Clerical Variable Income,Income,0,2023
DIBBLE,4500-02 · Clerical Variable Income,Income,0,2024
DIBBLE,4500-02 · Clerical Variable Income,Income,1542.75,2022
DIBBLE,4500-02 · Clerical Variable Income,Income,1771.77,2021
DIBBLE,4500-03 · Customers' Crop Share,Income,0,2021
DIBBLE,4500-03 · Customers' Crop Share,Income,0,2022
DIBBLE,4500-03 · Customers' Crop Share,Income,0,2023
DIBBLE,4500-03 · Customers' Crop Share,Income,0,2024
DIBBLE,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
DIBBLE,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
DIBBLE,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
DIBBLE,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
DIBBLE,5000-01 · Labor Hire Payroll,COGS,0,2021
DIBBLE,5000-01 · Labor Hire Payroll,COGS,0,2023
DIBBLE,5000-01 · Labor Hire Payroll,COGS,0,2024
DIBBLE,5000-01 · Labor Hire Payroll,COGS,89.25,2022
DIBBLE,5002-01 · Labor Hire Payroll Taxes,COGS,0,2021
DIBBLE,5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
DIBBLE,5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
DIBBLE,5002-01 · Labor Hire Payroll Taxes,COGS,6.84,2022
DIBBLE,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
DIBBLE,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
DIBBLE,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
DIBBLE,5002-04 · Harvesting Payroll Taxes,COGS,13.78,2024
DIBBLE,Net Income,Income,0,2023
DIBBLE,Net Income,Income,4578.72,2024
DIBBLE,Net Income,Income,5804.16,2022
DIBBLE,Net Income,Income,9822.91,2021
DIBBLE,Total COGS,COGS,0,2023
DIBBLE,Total COGS,COGS,144.28,2024
DIBBLE,Total COGS,COGS,4266.09,2021
DIBBLE,Total COGS,COGS,96.09,2022
DIBBLE,Total Expense,Expense,0,2021
DIBBLE,Total Expense,Expense,0,2022
DIBBLE,Total Expense,Expense,0,2023
DIBBLE,Total Expense,Expense,0,2024
DIBBLE,Total Income,Income,0,2023
DIBBLE,Total Income,Income,14089,2021
DIBBLE,Total Income,Income,4723,2024
DIBBLE,Total Income,Income,5900.25,2022
DNW,4300-01 · Custom Farming Equipment,Income,0,2024
DNW,4300-01 · Custom Farming Equipment,Income,45476,2023
DNW,4300-01 · Custom Farming Equipment,Income,50494.5,2021
DNW,4300-01 · Custom Farming Equipment,Income,66630.3,2022
DNW,4300-02 · Custom Harvesting Equipment,Income,10140,2024
DNW,4300-02 · Custom Harvesting Equipment,Income,37282.66,2022
DNW,4300-02 · Custom Harvesting Equipment,Income,71446.42,2021
DNW,4300-02 · Custom Harvesting Equipment,Income,87372,2023
DNW,4412 · Labor Income - Other,Income,0,2021
DNW,4412 · Labor Income - Other,Income,0,2022
DNW,4412 · Labor Income - Other,Income,0,2023
DNW,4412 · Labor Income - Other,Income,0,2024
DNW,4412-01 · Custom Farming Labor,Income,118643,2021
DNW,4412-01 · Custom Farming Labor,Income,2496,2024
DNW,4412-01 · Custom Farming Labor,Income,68483,2023
DNW,4412-01 · Custom Farming Labor,Income,83484,2022
DNW,4500-01 · Management Fees Income,Income,0,2024
DNW,4500-01 · Management Fees Income,Income,25000,2023
DNW,4500-01 · Management Fees Income,Income,27500,2022
DNW,4500-01 · Management Fees Income,Income,30000,2021
DNW,4500-02 · Clerical Variable Income,Income,0,2024
DNW,4500-02 · Clerical Variable Income,Income,12100,2022
DNW,4500-02 · Clerical Variable Income,Income,13896,2021
DNW,4500-02 · Clerical Variable Income,Income,15500,2023
DNW,4500-03 · Customers' Crop Share,Income,0,2024
DNW,4500-03 · Customers' Crop Share,Income,5000,2023
DNW,4500-03 · Customers' Crop Share,Income,5500,2022
DNW,4500-03 · Customers' Crop Share,Income,6000,2021
DNW,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
DNW,4500-04 · Vehicle Maintenance/Fuel Income,Income,16800,2021
DNW,4500-04 · Vehicle Maintenance/Fuel Income,Income,4950,2022
DNW,4500-04 · Vehicle Maintenance/Fuel Income,Income,5850,2023
DNW,5000-01 · Labor Hire Payroll,COGS,36936.59,2023
DNW,5000-01 · Labor Hire Payroll,COGS,49312.16,2021
DNW,5000-01 · Labor Hire Payroll,COGS,51532.76,2022
DNW,5000-01 · Labor Hire Payroll,COGS,683.5,2024
DNW,5002-01 · Labor Hire Payroll Taxes,COGS,3010.5,2023
DNW,5002-01 · Labor Hire Payroll Taxes,COGS,4159.09,2021
DNW,5002-01 · Labor Hire Payroll Taxes,COGS,4421.51,2022
DNW,5002-01 · Labor Hire Payroll Taxes,COGS,99.44,2024
DNW,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
DNW,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
DNW,5002-04 · Harvesting Payroll Taxes,COGS,153.94,2023
DNW,5002-04 · Harvesting Payroll Taxes,COGS,62.74,2021
DNW,Net Income,Income,11823.76,2024
DNW,Net Income,Income,175513.01,2022
DNW,Net Income,Income,225600.95,2023
DNW,Net Income,Income,269212.52,2021
DNW,Total COGS,COGS,40625.05,2023
DNW,Total COGS,COGS,61935.58,2022
DNW,Total COGS,COGS,75940.63,2021
DNW,Total COGS,COGS,782.94,2024
DNW,Total Expense,Expense,0,2023
DNW,Total Expense,Expense,0,2024
DNW,Total Expense,Expense,1.63,2021
DNW,Total Expense,Expense,'-1.63,2022
DNW,Total Income,Income,12606.7,2024
DNW,Total Income,Income,237446.96,2022
DNW,Total Income,Income,266226,2023
DNW,Total Income,Income,345154.78,2021
DODD,4300-01 · Custom Farming Equipment,Income,0,2023
DODD,4300-01 · Custom Farming Equipment,Income,0,2024
DODD,4300-01 · Custom Farming Equipment,Income,4427.5,2021
DODD,4300-01 · Custom Farming Equipment,Income,764.9,2022
DODD,4300-02 · Custom Harvesting Equipment,Income,0,2024
DODD,4300-02 · Custom Harvesting Equipment,Income,16950,2022
DODD,4300-02 · Custom Harvesting Equipment,Income,17326,2023
DODD,4300-02 · Custom Harvesting Equipment,Income,31126,2021
DODD,4412 · Labor Income - Other,Income,0,2021
DODD,4412 · Labor Income - Other,Income,0,2022
DODD,4412 · Labor Income - Other,Income,0,2023
DODD,4412 · Labor Income - Other,Income,0,2024
DODD,4412-01 · Custom Farming Labor,Income,0,2023
DODD,4412-01 · Custom Farming Labor,Income,0,2024
DODD,4412-01 · Custom Farming Labor,Income,1401,2021
DODD,4412-01 · Custom Farming Labor,Income,225,2022
DODD,4500-01 · Management Fees Income,Income,0,2021
DODD,4500-01 · Management Fees Income,Income,0,2022
DODD,4500-01 · Management Fees Income,Income,0,2023
DODD,4500-01 · Management Fees Income,Income,0,2024
DODD,4500-02 · Clerical Variable Income,Income,0,2021
DODD,4500-02 · Clerical Variable Income,Income,0,2022
DODD,4500-02 · Clerical Variable Income,Income,0,2023
DODD,4500-02 · Clerical Variable Income,Income,0,2024
DODD,4500-03 · Customers' Crop Share,Income,0,2021
DODD,4500-03 · Customers' Crop Share,Income,0,2022
DODD,4500-03 · Customers' Crop Share,Income,0,2023
DODD,4500-03 · Customers' Crop Share,Income,0,2024
DODD,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
DODD,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
DODD,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
DODD,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
DODD,5000-01 · Labor Hire Payroll,COGS,1018.33,2021
DODD,5000-01 · Labor Hire Payroll,COGS,189.88,2022
DODD,5000-01 · Labor Hire Payroll,COGS,36,2023
DODD,5000-01 · Labor Hire Payroll,COGS,38,2024
DODD,5002-01 · Labor Hire Payroll Taxes,COGS,14.51,2022
DODD,5002-01 · Labor Hire Payroll Taxes,COGS,2.73,2023
DODD,5002-01 · Labor Hire Payroll Taxes,COGS,2.91,2024
DODD,5002-01 · Labor Hire Payroll Taxes,COGS,95.15,2021
DODD,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
DODD,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
DODD,5002-04 · Harvesting Payroll Taxes,COGS,168.94,2024
DODD,5002-04 · Harvesting Payroll Taxes,COGS,21.35,2021
DODD,Net Income,Income,13656.31,2022
DODD,Net Income,Income,'-1535.45,2024
DODD,Net Income,Income,17287.27,2023
DODD,Net Income,Income,35540.67,2021
DODD,Total COGS,COGS,1413.83,2021
DODD,Total COGS,COGS,1535.45,2024
DODD,Total COGS,COGS,204.39,2022
DODD,Total COGS,COGS,38.73,2023
DODD,Total Expense,Expense,0,2021
DODD,Total Expense,Expense,0,2022
DODD,Total Expense,Expense,0,2023
DODD,Total Expense,Expense,0,2024
DODD,Total Income,Income,0,2024
DODD,Total Income,Income,13860.7,2022
DODD,Total Income,Income,17326,2023
DODD,Total Income,Income,36954.5,2021
DUDLEY,4300-01 · Custom Farming Equipment,Income,0,2024
DUDLEY,4300-01 · Custom Farming Equipment,Income,1014,2023
DUDLEY,4300-01 · Custom Farming Equipment,Income,1255,2022
DUDLEY,4300-01 · Custom Farming Equipment,Income,204.2,2021
DUDLEY,4300-02 · Custom Harvesting Equipment,Income,2074,2023
DUDLEY,4300-02 · Custom Harvesting Equipment,Income,4733,2024
DUDLEY,4300-02 · Custom Harvesting Equipment,Income,6761.14,2021
DUDLEY,4300-02 · Custom Harvesting Equipment,Income,7150.58,2022
DUDLEY,4412 · Labor Income - Other,Income,0,2021
DUDLEY,4412 · Labor Income - Other,Income,0,2022
DUDLEY,4412 · Labor Income - Other,Income,0,2023
DUDLEY,4412 · Labor Income - Other,Income,0,2024
DUDLEY,4412-01 · Custom Farming Labor,Income,368,2023
DUDLEY,4412-01 · Custom Farming Labor,Income,480,2022
DUDLEY,4412-01 · Custom Farming Labor,Income,494,2021
DUDLEY,4412-01 · Custom Farming Labor,Income,96,2024
DUDLEY,4500-01 · Management Fees Income,Income,0,2021
DUDLEY,4500-01 · Management Fees Income,Income,0,2022
DUDLEY,4500-01 · Management Fees Income,Income,0,2023
DUDLEY,4500-01 · Management Fees Income,Income,0,2024
DUDLEY,4500-02 · Clerical Variable Income,Income,0,2021
DUDLEY,4500-02 · Clerical Variable Income,Income,0,2022
DUDLEY,4500-02 · Clerical Variable Income,Income,0,2023
DUDLEY,4500-02 · Clerical Variable Income,Income,0,2024
DUDLEY,4500-03 · Customers' Crop Share,Income,0,2021
DUDLEY,4500-03 · Customers' Crop Share,Income,0,2022
DUDLEY,4500-03 · Customers' Crop Share,Income,0,2023
DUDLEY,4500-03 · Customers' Crop Share,Income,0,2024
DUDLEY,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
DUDLEY,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
DUDLEY,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
DUDLEY,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
DUDLEY,5000-01 · Labor Hire Payroll,COGS,230,2023
DUDLEY,5000-01 · Labor Hire Payroll,COGS,279.25,2021
DUDLEY,5000-01 · Labor Hire Payroll,COGS,311.75,2022
DUDLEY,5000-01 · Labor Hire Payroll,COGS,54,2024
DUDLEY,5002-01 · Labor Hire Payroll Taxes,COGS,17.57,2023
DUDLEY,5002-01 · Labor Hire Payroll Taxes,COGS,29.07,2021
DUDLEY,5002-01 · Labor Hire Payroll Taxes,COGS,29.1,2022
DUDLEY,5002-01 · Labor Hire Payroll Taxes,COGS,7.85,2024
DUDLEY,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
DUDLEY,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
DUDLEY,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
DUDLEY,5002-04 · Harvesting Payroll Taxes,COGS,122.64,2024
DUDLEY,Net Income,Income,3208.43,2023
DUDLEY,Net Income,Income,3640.5,2024
DUDLEY,Net Income,Income,7151.02,2021
DUDLEY,Net Income,Income,8579.68,2022
DUDLEY,Total COGS,COGS,1188.5,2024
DUDLEY,Total COGS,COGS,247.57,2023
DUDLEY,Total COGS,COGS,305.9,2022
DUDLEY,Total COGS,COGS,308.32,2021
DUDLEY,Total Expense,Expense,0,2021
DUDLEY,Total Expense,Expense,0,2022
DUDLEY,Total Expense,Expense,0,2023
DUDLEY,Total Expense,Expense,0,2024
DUDLEY,Total Income,Income,3456,2023
DUDLEY,Total Income,Income,4829,2024
DUDLEY,Total Income,Income,7459.34,2021
DUDLEY,Total Income,Income,8885.58,2022
EN-40,4300-01 · Custom Farming Equipment,Income,0,2024
EN-40,4300-01 · Custom Farming Equipment,Income,2657.1,2021
EN-40,4300-01 · Custom Farming Equipment,Income,600,2023
EN-40,4300-01 · Custom Farming Equipment,Income,6436.25,2022
EN-40,4300-02 · Custom Harvesting Equipment,Income,0,2021
EN-40,4300-02 · Custom Harvesting Equipment,Income,0,2022
EN-40,4300-02 · Custom Harvesting Equipment,Income,0,2023
EN-40,4300-02 · Custom Harvesting Equipment,Income,0,2024
EN-40,4412 · Labor Income - Other,Income,0,2021
EN-40,4412 · Labor Income - Other,Income,0,2022
EN-40,4412 · Labor Income - Other,Income,0,2023
EN-40,4412 · Labor Income - Other,Income,0,2024
EN-40,4412-01 · Custom Farming Labor,Income,21636,2021
EN-40,4412-01 · Custom Farming Labor,Income,2261,2023
EN-40,4412-01 · Custom Farming Labor,Income,24572.75,2022
EN-40,4412-01 · Custom Farming Labor,Income,40,2024
EN-40,4500-01 · Management Fees Income,Income,0,2021
EN-40,4500-01 · Management Fees Income,Income,0,2022
EN-40,4500-01 · Management Fees Income,Income,0,2023
EN-40,4500-01 · Management Fees Income,Income,0,2024
EN-40,4500-02 · Clerical Variable Income,Income,0,2021
EN-40,4500-02 · Clerical Variable Income,Income,0,2022
EN-40,4500-02 · Clerical Variable Income,Income,0,2023
EN-40,4500-02 · Clerical Variable Income,Income,0,2024
EN-40,4500-03 · Customers' Crop Share,Income,0,2021
EN-40,4500-03 · Customers' Crop Share,Income,0,2022
EN-40,4500-03 · Customers' Crop Share,Income,0,2023
EN-40,4500-03 · Customers' Crop Share,Income,0,2024
EN-40,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
EN-40,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
EN-40,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
EN-40,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
EN-40,5000-01 · Labor Hire Payroll,COGS,12871.94,2022
EN-40,5000-01 · Labor Hire Payroll,COGS,2195,2023
EN-40,5000-01 · Labor Hire Payroll,COGS,73.5,2024
EN-40,5000-01 · Labor Hire Payroll,COGS,9215.5,2021
EN-40,5002-01 · Labor Hire Payroll Taxes,COGS,1182.34,2022
EN-40,5002-01 · Labor Hire Payroll Taxes,COGS,216.16,2023
EN-40,5002-01 · Labor Hire Payroll Taxes,COGS,5.61,2024
EN-40,5002-01 · Labor Hire Payroll Taxes,COGS,962.52,2021
EN-40,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
EN-40,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
EN-40,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
EN-40,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
EN-40,Net Income,Income,14115.08,2021
EN-40,Net Income,Income,21171.61,2022
EN-40,Net Income,Income,'-39.11,2024
EN-40,Net Income,Income,449.84,2023
EN-40,Total COGS,COGS,10178.02,2021
EN-40,Total COGS,COGS,2411.16,2023
EN-40,Total COGS,COGS,79.11,2024
EN-40,Total COGS,COGS,9837.39,2022
EN-40,Total Expense,Expense,0,2021
EN-40,Total Expense,Expense,0,2022
EN-40,Total Expense,Expense,0,2023
EN-40,Total Expense,Expense,0,2024
EN-40,Total Income,Income,24293.1,2021
EN-40,Total Income,Income,2861,2023
EN-40,Total Income,Income,31009,2022
EN-40,Total Income,Income,40,2024
ENH-JANE WATSON,4300-01 · Custom Farming Equipment,Income,0,2024
ENH-JANE WATSON,4300-01 · Custom Farming Equipment,Income,236,2021
ENH-JANE WATSON,4300-01 · Custom Farming Equipment,Income,546.99,2022
ENH-JANE WATSON,4300-01 · Custom Farming Equipment,Income,6.4,2023
ENH-JANE WATSON,4300-02 · Custom Harvesting Equipment,Income,10213.85,2022
ENH-JANE WATSON,4300-02 · Custom Harvesting Equipment,Income,10786,2023
ENH-JANE WATSON,4300-02 · Custom Harvesting Equipment,Income,11549.24,2021
ENH-JANE WATSON,4300-02 · Custom Harvesting Equipment,Income,6220,2024
ENH-JANE WATSON,4412 · Labor Income - Other,Income,0,2021
ENH-JANE WATSON,4412 · Labor Income - Other,Income,0,2022
ENH-JANE WATSON,4412 · Labor Income - Other,Income,0,2023
ENH-JANE WATSON,4412 · Labor Income - Other,Income,0,2024
ENH-JANE WATSON,4412-01 · Custom Farming Labor,Income,1014,2021
ENH-JANE WATSON,4412-01 · Custom Farming Labor,Income,134,2023
ENH-JANE WATSON,4412-01 · Custom Farming Labor,Income,244,2024
ENH-JANE WATSON,4412-01 · Custom Farming Labor,Income,564,2022
ENH-JANE WATSON,4500-01 · Management Fees Income,Income,0,2021
ENH-JANE WATSON,4500-01 · Management Fees Income,Income,0,2022
ENH-JANE WATSON,4500-01 · Management Fees Income,Income,0,2023
ENH-JANE WATSON,4500-01 · Management Fees Income,Income,0,2024
ENH-JANE WATSON,4500-02 · Clerical Variable Income,Income,0,2021
ENH-JANE WATSON,4500-02 · Clerical Variable Income,Income,0,2022
ENH-JANE WATSON,4500-02 · Clerical Variable Income,Income,0,2023
ENH-JANE WATSON,4500-02 · Clerical Variable Income,Income,0,2024
ENH-JANE WATSON,4500-03 · Customers' Crop Share,Income,0,2021
ENH-JANE WATSON,4500-03 · Customers' Crop Share,Income,0,2022
ENH-JANE WATSON,4500-03 · Customers' Crop Share,Income,0,2023
ENH-JANE WATSON,4500-03 · Customers' Crop Share,Income,0,2024
ENH-JANE WATSON,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
ENH-JANE WATSON,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
ENH-JANE WATSON,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
ENH-JANE WATSON,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
ENH-JANE WATSON,5000-01 · Labor Hire Payroll,COGS,109.25,2023
ENH-JANE WATSON,5000-01 · Labor Hire Payroll,COGS,239.25,2024
ENH-JANE WATSON,5000-01 · Labor Hire Payroll,COGS,569.25,2021
ENH-JANE WATSON,5000-01 · Labor Hire Payroll,COGS,581.75,2022
ENH-JANE WATSON,5002-01 · Labor Hire Payroll Taxes,COGS,32.22,2024
ENH-JANE WATSON,5002-01 · Labor Hire Payroll Taxes,COGS,51.83,2021
ENH-JANE WATSON,5002-01 · Labor Hire Payroll Taxes,COGS,55.44,2022
ENH-JANE WATSON,5002-01 · Labor Hire Payroll Taxes,COGS,8.49,2023
ENH-JANE WATSON,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
ENH-JANE WATSON,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
ENH-JANE WATSON,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
ENH-JANE WATSON,5002-04 · Harvesting Payroll Taxes,COGS,48.11,2024
ENH-JANE WATSON,Net Income,Income,10808.66,2023
ENH-JANE WATSON,Net Income,Income,12178.16,2021
ENH-JANE WATSON,Net Income,Income,22504.4,2022
ENH-JANE WATSON,Net Income,Income,5784.42,2024
ENH-JANE WATSON,Total COGS,COGS,'-11179.56,2022
ENH-JANE WATSON,Total COGS,COGS,117.74,2023
ENH-JANE WATSON,Total COGS,COGS,621.08,2021
ENH-JANE WATSON,Total COGS,COGS,679.58,2024
ENH-JANE WATSON,Total Expense,Expense,0,2021
ENH-JANE WATSON,Total Expense,Expense,0,2022
ENH-JANE WATSON,Total Expense,Expense,0,2023
ENH-JANE WATSON,Total Expense,Expense,0,2024
ENH-JANE WATSON,Total Income,Income,10926.4,2023
ENH-JANE WATSON,Total Income,Income,11324.84,2022
ENH-JANE WATSON,Total Income,Income,12799.24,2021
ENH-JANE WATSON,Total Income,Income,6464,2024
ERIC,4300-01 · Custom Farming Equipment,Income,0,2021
ERIC,4300-01 · Custom Farming Equipment,Income,0,2022
ERIC,4300-01 · Custom Farming Equipment,Income,0,2023
ERIC,4300-01 · Custom Farming Equipment,Income,0,2024
ERIC,4300-02 · Custom Harvesting Equipment,Income,0,2022
ERIC,4300-02 · Custom Harvesting Equipment,Income,0,2023
ERIC,4300-02 · Custom Harvesting Equipment,Income,0,2024
ERIC,4300-02 · Custom Harvesting Equipment,Income,2635,2021
ERIC,4412 · Labor Income - Other,Income,0,2021
ERIC,4412 · Labor Income - Other,Income,0,2022
ERIC,4412 · Labor Income - Other,Income,0,2023
ERIC,4412 · Labor Income - Other,Income,0,2024
ERIC,4412-01 · Custom Farming Labor,Income,0,2021
ERIC,4412-01 · Custom Farming Labor,Income,0,2022
ERIC,4412-01 · Custom Farming Labor,Income,0,2023
ERIC,4412-01 · Custom Farming Labor,Income,0,2024
ERIC,4500-01 · Management Fees Income,Income,0,2021
ERIC,4500-01 · Management Fees Income,Income,0,2022
ERIC,4500-01 · Management Fees Income,Income,0,2023
ERIC,4500-01 · Management Fees Income,Income,0,2024
ERIC,4500-02 · Clerical Variable Income,Income,0,2021
ERIC,4500-02 · Clerical Variable Income,Income,0,2022
ERIC,4500-02 · Clerical Variable Income,Income,0,2023
ERIC,4500-02 · Clerical Variable Income,Income,0,2024
ERIC,4500-03 · Customers' Crop Share,Income,0,2021
ERIC,4500-03 · Customers' Crop Share,Income,0,2022
ERIC,4500-03 · Customers' Crop Share,Income,0,2023
ERIC,4500-03 · Customers' Crop Share,Income,0,2024
ERIC,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
ERIC,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
ERIC,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
ERIC,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
ERIC,5000-01 · Labor Hire Payroll,COGS,0,2021
ERIC,5000-01 · Labor Hire Payroll,COGS,0,2022
ERIC,5000-01 · Labor Hire Payroll,COGS,0,2023
ERIC,5000-01 · Labor Hire Payroll,COGS,0,2024
ERIC,5002-01 · Labor Hire Payroll Taxes,COGS,0,2021
ERIC,5002-01 · Labor Hire Payroll Taxes,COGS,0,2022
ERIC,5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
ERIC,5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
ERIC,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
ERIC,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
ERIC,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
ERIC,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
ERIC,Net Income,Income,0,2022
ERIC,Net Income,Income,0,2023
ERIC,Net Income,Income,0,2024
ERIC,Net Income,Income,2635,2021
ERIC,Total COGS,COGS,0,2021
ERIC,Total COGS,COGS,0,2022
ERIC,Total COGS,COGS,0,2023
ERIC,Total COGS,COGS,0,2024
ERIC,Total Expense,Expense,0,2021
ERIC,Total Expense,Expense,0,2022
ERIC,Total Expense,Expense,0,2023
ERIC,Total Expense,Expense,0,2024
ERIC,Total Income,Income,0,2022
ERIC,Total Income,Income,0,2023
ERIC,Total Income,Income,0,2024
ERIC,Total Income,Income,2635,2021
ESP,4300-01 · Custom Farming Equipment,Income,0,2022
ESP,4300-01 · Custom Farming Equipment,Income,0,2023
ESP,4300-01 · Custom Farming Equipment,Income,0,2024
ESP,4300-01 · Custom Farming Equipment,Income,10.35,2021
ESP,4300-02 · Custom Harvesting Equipment,Income,0,2023
ESP,4300-02 · Custom Harvesting Equipment,Income,5347.5,2021
ESP,4300-02 · Custom Harvesting Equipment,Income,5692.5,2022
ESP,4300-02 · Custom Harvesting Equipment,Income,6176,2024
ESP,4412 · Labor Income - Other,Income,0,2021
ESP,4412 · Labor Income - Other,Income,0,2022
ESP,4412 · Labor Income - Other,Income,0,2023
ESP,4412 · Labor Income - Other,Income,0,2024
ESP,4412-01 · Custom Farming Labor,Income,0,2023
ESP,4412-01 · Custom Farming Labor,Income,0,2024
ESP,4412-01 · Custom Farming Labor,Income,'-30,2021
ESP,4412-01 · Custom Farming Labor,Income,450,2022
ESP,4500-01 · Management Fees Income,Income,0,2021
ESP,4500-01 · Management Fees Income,Income,0,2022
ESP,4500-01 · Management Fees Income,Income,0,2023
ESP,4500-01 · Management Fees Income,Income,0,2024
ESP,4500-02 · Clerical Variable Income,Income,0,2023
ESP,4500-02 · Clerical Variable Income,Income,0,2024
ESP,4500-02 · Clerical Variable Income,Income,2087.25,2022
ESP,4500-02 · Clerical Variable Income,Income,2397.09,2021
ESP,4500-03 · Customers' Crop Share,Income,0,2021
ESP,4500-03 · Customers' Crop Share,Income,0,2022
ESP,4500-03 · Customers' Crop Share,Income,0,2023
ESP,4500-03 · Customers' Crop Share,Income,0,2024
ESP,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2021
ESP,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2022
ESP,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2023
ESP,4500-04 · Vehicle Maintenance/Fuel Income,Income,0,2024
ESP,5000-01 · Labor Hire Payroll,COGS,0,2021
ESP,5000-01 · Labor Hire Payroll,COGS,0,2023
ESP,5000-01 · Labor Hire Payroll,COGS,0,2024
ESP,5000-01 · Labor Hire Payroll,COGS,259.25,2022
ESP,5002-01 · Labor Hire Payroll Taxes,COGS,0,2021
ESP,5002-01 · Labor Hire Payroll Taxes,COGS,0,2023
ESP,5002-01 · Labor Hire Payroll Taxes,COGS,0,2024
ESP,5002-01 · Labor Hire Payroll Taxes,COGS,21.04,2022
ESP,5002-04 · Harvesting Payroll Taxes,COGS,0,2021
ESP,5002-04 · Harvesting Payroll Taxes,COGS,0,2022
ESP,5002-04 · Harvesting Payroll Taxes,COGS,0,2023
ESP,5002-04 · Harvesting Payroll Taxes,COGS,0,2024
ESP,Net Income,Income,151.8,2023
ESP,Net Income,Income,16744.94,2021
ESP,Net Income,Income,4714.92,2024
ESP,Net Income,Income,8445.66,2022
ESP,Total COGS,COGS,1461.08,2024
ESP,Total COGS,COGS,'-151.8,2023
ESP,Total COGS,COGS,'-215.91,2022
ESP,Total COGS,COGS,9232.76,2021
ESP,Total Expense,Expense,0,2021
ESP,Total Expense,Expense,0,2022
ESP,Total Expense,Expense,0,2023
ESP,Total Expense,Expense,0,2024
ESP,Total Income,Income,0,2023
ESP,Total Income,Income,25977.7,2021
ESP,Total Income,Income,6176,2024
ESP,Total Income,Income,8229.75,2022
EXT,4300-01 · Custom Farming Equipment,Income,0,2021
EXT,4300-01 · Custom Farming Equipment,Income,0,2022
EXT,4300-01 · Custom Farming Equipment,Income,0,2023
EXT,4300-01 · Custom Farming Equipment,Income,0,2024
EXT,4300-02 · Custom Harvesting Equipment,Income,13711.92,2022
